event;info
Item:;2 item_health_mega
Kill:;1022 2 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Item:;2 weapon_rocketlauncher
Item:;2 ammo_rockets
Item:;2 item_armor_body
Kill:;1022 2 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Item:;2 weapon_rocketlauncher
Item:;2 ammo_rockets
Item:;2 weapon_rocketlauncher
Kill:;1022 2 19: <world> killed Isgalamido by MOD_FALLING
Item:;2 item_armor_combat
Kill:;1022 2 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Item:;2 ammo_rockets
Item:;2 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 weapon_rocketlauncher
ShutdownGame:;
InitGame:;\sv_floodProtect\1\sv_maxPing\0\sv_minPing\0\sv_maxRate\10000\sv_minRate\0\sv_hostname\Code Miner Server\g_gametype\0\sv_privateClients\2\sv_maxclients\16\sv_allowDownload\0\dmflags\0\fraglimit\20\timelimit\15\g_maxGameClients\0\capturelimit\8\version\ioq3 1.36 linux-x86_64 Apr 12 2009\protocol\68\mapname\q3dm17\gamename\baseq3\g_needpass\0
ClientConnect:;2
ClientUserinfoChanged:;2 n\Dono da Bola\t\0\model\sarge/krusade\hmodel\sarge/krusade\g_redteam\\g_blueteam\\c1\5\c2\5\hc\95\w\0\l\0\tt\0\tl\0
ClientUserinfoChanged:;2 n\Mocinha\t\0\model\sarge\hmodel\sarge\g_redteam\\g_blueteam\\c1\4\c2\5\hc\95\w\0\l\0\tt\0\tl\0
ClientBegin:;2
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_combat
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_health_large
Item:;2 weapon_rocketlauncher
Item:;2 ammo_rockets
ClientConnect:;3
ClientUserinfoChanged:;3 n\Isgalamido\t\0\model\xian/default\hmodel\xian/default\g_redteam\\g_blueteam\\c1\4\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientUserinfoChanged:;3 n\Isgalamido\t\0\model\uriel/zael\hmodel\uriel/zael\g_redteam\\g_blueteam\\c1\5\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientBegin:;3
Item:;3 weapon_rocketlauncher
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
ClientConnect:;4
ClientUserinfoChanged:;4 n\Zeh\t\0\model\sarge/default\hmodel\sarge/default\g_redteam\\g_blueteam\\c1\5\c2\5\hc\100\w\0\l\0\tt\0\tl\0
Kill:;3 2 6: Isgalamido killed Mocinha by MOD_ROCKET
ClientUserinfoChanged:;4 n\Zeh\t\0\model\sarge/default\hmodel\sarge/default\g_redteam\\g_blueteam\\c1\1\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientBegin:;4
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_combat
Item:;4 weapon_shotgun
Item:;4 ammo_shells
Item:;4 item_health_large
Item:;4 weapon_rocketlauncher
Item:;4 ammo_rockets
Kill:;1022 4 22: <world> killed Zeh by MOD_TRIGGER_HURT
ClientUserinfoChanged:;2 n\Dono da Bola\t\0\model\sarge\hmodel\sarge\g_redteam\\g_blueteam\\c1\4\c2\5\hc\95\w\0\l\0\tt\0\tl\0
Item:;3 weapon_railgun
Item:;2 weapon_rocketlauncher
Item:;3 weapon_railgun
Item:;3 weapon_railgun
Kill:;1022 4 22: <world> killed Zeh by MOD_TRIGGER_HURT
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;3 weapon_railgun
Item:;2 item_health_large
Item:;3 weapon_railgun
Kill:;1022 2 19: <world> killed Dono da Bola by MOD_FALLING
Item:;3 weapon_railgun
Item:;2 ammo_rockets
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
ShutdownGame:;
InitGame:;\sv_floodProtect\1\sv_maxPing\0\sv_minPing\0\sv_maxRate\10000\sv_minRate\0\sv_hostname\Code Miner Server\g_gametype\0\sv_privateClients\2\sv_maxclients\16\sv_allowDownload\0\bot_minplayers\0\dmflags\0\fraglimit\20\timelimit\15\g_maxGameClients\0\capturelimit\8\version\ioq3 1.36 linux-x86_64 Apr 12 2009\protocol\68\mapname\q3dm17\gamename\baseq3\g_needpass\0
ClientConnect:;2
ClientUserinfoChanged:;2 n\Dono da Bola\t\0\model\sarge\hmodel\sarge\g_redteam\\g_blueteam\\c1\4\c2\5\hc\95\w\0\l\0\tt\0\tl\0
ClientBegin:;2
ClientConnect:;3
ClientUserinfoChanged:;3 n\Isgalamido\t\0\model\uriel/zael\hmodel\uriel/zael\g_redteam\\g_blueteam\\c1\5\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientBegin:;3
ClientConnect:;4
ClientUserinfoChanged:;4 n\Zeh\t\0\model\sarge/default\hmodel\sarge/default\g_redteam\\g_blueteam\\c1\1\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientBegin:;4
Item:;4 ammo_rockets
Item:;4 weapon_rocketlauncher
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_combat
Item:;3 weapon_rocketlauncher
Item:;3 ammo_rockets
Item:;2 weapon_rocketlauncher
Kill:;1022 3 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Item:;3 weapon_rocketlauncher
Kill:;1022 2 19: <world> killed Dono da Bola by MOD_FALLING
Item:;4 item_armor_body
Kill:;1022 3 19: <world> killed Isgalamido by MOD_FALLING
Item:;2 weapon_rocketlauncher
Kill:;2 4 6: Dono da Bola killed Zeh by MOD_ROCKET
Item:;3 weapon_railgun
Item:;2 item_health_large
Item:;4 weapon_rocketlauncher
Item:;4 weapon_rocketlauncher
Item:;3 weapon_railgun
Item:;3 weapon_railgun
Kill:;3 2 10: Isgalamido killed Dono da Bola by MOD_RAILGUN
Item:;3 weapon_railgun
Item:;4 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_combat
Kill:;3 4 10: Isgalamido killed Zeh by MOD_RAILGUN
Item:;3 item_quad
Item:;4 ammo_shells
Item:;4 weapon_shotgun
Kill:;3 2 10: Isgalamido killed Dono da Bola by MOD_RAILGUN
Item:;2 weapon_rocketlauncher
Kill:;3 4 10: Isgalamido killed Zeh by MOD_RAILGUN
Item:;3 weapon_rocketlauncher
Item:;3 item_armor_body
Item:;4 weapon_rocketlauncher
Item:;2 weapon_railgun
Item:;4 ammo_rockets
Item:;4 weapon_railgun
Item:;2 ammo_rockets
Item:;2 weapon_rocketlauncher
Kill:;3 4 10: Isgalamido killed Zeh by MOD_RAILGUN
Item:;4 weapon_shotgun
Item:;2 weapon_shotgun
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_combat
Item:;3 weapon_rocketlauncher
Item:;3 item_health_large
Kill:;2 4 6: Dono da Bola killed Zeh by MOD_ROCKET
Kill:;3 2 6: Isgalamido killed Dono da Bola by MOD_ROCKET
Item:;3 weapon_rocketlauncher
Item:;4 weapon_rocketlauncher
Item:;3 ammo_bullets
Item:;2 weapon_rocketlauncher
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;4 weapon_rocketlauncher
Kill:;1022 3 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Kill:;4 2 6: Zeh killed Dono da Bola by MOD_ROCKET
Item:;3 ammo_rockets
Item:;3 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Kill:;3 4 6: Isgalamido killed Zeh by MOD_ROCKET
Item:;2 weapon_rocketlauncher
Kill:;3 4 7: Isgalamido killed Zeh by MOD_ROCKET_SPLASH
Item:;4 weapon_rocketlauncher
Kill:;2 3 6: Dono da Bola killed Isgalamido by MOD_ROCKET
Item:;2 ammo_rockets
Item:;3 weapon_rocketlauncher
Item:;4 item_armor_body
Item:;2 weapon_rocketlauncher
ClientConnect:;5
ClientUserinfoChanged:;5 n\Assasinu Credi\t\0\model\sarge\hmodel\sarge\g_redteam\\g_blueteam\\c1\4\c2\5\hc\95\w\0\l\0\tt\0\tl\0
Item:;2 item_health_large
ClientUserinfoChanged:;5 n\Assasinu Credi\t\0\model\sarge\hmodel\sarge\g_redteam\\g_blueteam\\c1\4\c2\5\hc\100\w\0\l\0\tt\0\tl\0
ClientBegin:;5
Kill:;1022 2 19: <world> killed Dono da Bola by MOD_FALLING
Item:;2 weapon_rocketlauncher
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_combat
Kill:;4 5 6: Zeh killed Assasinu Credi by MOD_ROCKET
Kill:;4 2 6: Zeh killed Dono da Bola by MOD_ROCKET
Item:;4 item_health_large
Item:;2 weapon_rocketlauncher
Item:;4 weapon_rocketlauncher
Kill:;4 3 7: Zeh killed Isgalamido by MOD_ROCKET_SPLASH
Item:;3 weapon_rocketlauncher
Kill:;1022 5 19: <world> killed Assasinu Credi by MOD_FALLING
Item:;5 weapon_rocketlauncher
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Kill:;1022 3 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Item:;5 item_armor_body
Item:;5 ammo_rockets
Item:;5 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Kill:;4 2 7: Zeh killed Dono da Bola by MOD_ROCKET_SPLASH
Kill:;3 4 7: Isgalamido killed Zeh by MOD_ROCKET_SPLASH
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;4 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;3 item_armor_combat
Item:;2 ammo_bullets
Item:;4 ammo_bullets
Item:;3 item_quad
Kill:;3 5 3: Isgalamido killed Assasinu Credi by MOD_MACHINEGUN
Kill:;3 4 3: Isgalamido killed Zeh by MOD_MACHINEGUN
Item:;5 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;4 weapon_rocketlauncher
Item:;4 ammo_rockets
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Kill:;2 3 6: Dono da Bola killed Isgalamido by MOD_ROCKET
Item:;2 item_quad
Item:;5 item_armor_shard
Item:;5 item_armor_shard
Item:;5 item_armor_shard
Item:;4 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Kill:;2 2 7: Dono da Bola killed Dono da Bola by MOD_ROCKET_SPLASH
Item:;4 item_quad
Item:;4 weapon_rocketlauncher
Item:;5 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Kill:;4 3 7: Zeh killed Isgalamido by MOD_ROCKET_SPLASH
Item:;5 item_armor_body
Item:;5 ammo_rockets
Item:;5 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;4 item_armor_combat
Item:;4 item_health_large
Item:;3 weapon_rocketlauncher
Kill:;4 5 6: Zeh killed Assasinu Credi by MOD_ROCKET
Kill:;4 3 7: Zeh killed Isgalamido by MOD_ROCKET_SPLASH
Kill:;5 4 7: Assasinu Credi killed Zeh by MOD_ROCKET_SPLASH
Item:;4 weapon_rocketlauncher
Item:;4 weapon_rocketlauncher
Item:;3 ammo_bullets
Item:;5 weapon_rocketlauncher
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;3 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Kill:;1022 3 19: <world> killed Isgalamido by MOD_FALLING
Item:;2 weapon_rocketlauncher
Kill:;4 2 7: Zeh killed Dono da Bola by MOD_ROCKET_SPLASH
Item:;3 weapon_rocketlauncher
Kill:;4 5 7: Zeh killed Assasinu Credi by MOD_ROCKET_SPLASH
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;5 weapon_rocketlauncher
Item:;2 ammo_rockets
Item:;5 item_armor_body
Kill:;3 2 7: Isgalamido killed Dono da Bola by MOD_ROCKET_SPLASH
Item:;3 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Kill:;1022 3 19: <world> killed Isgalamido by MOD_FALLING
Item:;2 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;4 item_health_large
Item:;2 item_armor_combat
Kill:;5 4 7: Assasinu Credi killed Zeh by MOD_ROCKET_SPLASH
Item:;5 weapon_rocketlauncher
Item:;4 weapon_rocketlauncher
Item:;4 ammo_rockets
Item:;2 weapon_rocketlauncher
Kill:;5 2 7: Assasinu Credi killed Dono da Bola by MOD_ROCKET_SPLASH
Kill:;5 3 7: Assasinu Credi killed Isgalamido by MOD_ROCKET_SPLASH
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_body
Item:;3 weapon_rocketlauncher
Item:;5 item_armor_shard
Item:;5 item_armor_shard
Item:;5 item_armor_shard
Item:;4 item_quad
Item:;5 item_health_large
Item:;3 weapon_railgun
Kill:;2 3 6: Dono da Bola killed Isgalamido by MOD_ROCKET
Item:;5 weapon_rocketlauncher
Kill:;1022 2 22: <world> killed Dono da Bola by MOD_TRIGGER_HURT
Kill:;4 5 7: Zeh killed Assasinu Credi by MOD_ROCKET_SPLASH
Item:;5 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;3 ammo_slugs
Item:;3 weapon_railgun
Item:;5 item_armor_combat
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;4 weapon_rocketlauncher
Kill:;1022 2 22: <world> killed Dono da Bola by MOD_TRIGGER_HURT
Item:;2 weapon_rocketlauncher
Kill:;4 5 7: Zeh killed Assasinu Credi by MOD_ROCKET_SPLASH
Kill:;5 4 7: Assasinu Credi killed Zeh by MOD_ROCKET_SPLASH
Item:;2 ammo_rockets
Item:;5 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;3 item_quad
Item:;3 weapon_rocketlauncher
Item:;4 weapon_shotgun
Kill:;2 3 7: Dono da Bola killed Isgalamido by MOD_ROCKET_SPLASH
Item:;5 item_armor_body
Item:;2 item_quad
Item:;2 weapon_rocketlauncher
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Kill:;2 4 6: Dono da Bola killed Zeh by MOD_ROCKET
Kill:;2 2 7: Dono da Bola killed Dono da Bola by MOD_ROCKET_SPLASH
Item:;2 weapon_rocketlauncher
Item:;4 weapon_rocketlauncher
Item:;4 ammo_rockets
Item:;4 weapon_railgun
Kill:;5 3 7: Assasinu Credi killed Isgalamido by MOD_ROCKET_SPLASH
Item:;5 weapon_railgun
Kill:;1022 2 22: <world> killed Dono da Bola by MOD_TRIGGER_HURT
Item:;5 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;4 weapon_railgun
Item:;3 item_quad
Item:;4 item_health
Item:;4 weapon_rocketlauncher
Kill:;1022 3 22: <world> killed Isgalamido by MOD_TRIGGER_HURT
Item:;5 weapon_shotgun
Item:;5 ammo_shells
Kill:;4 2 6: Zeh killed Dono da Bola by MOD_ROCKET
Item:;4 item_health_large
Item:;2 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_combat
Kill:;2 5 7: Dono da Bola killed Assasinu Credi by MOD_ROCKET_SPLASH
Item:;2 weapon_rocketlauncher
Kill:;4 2 7: Zeh killed Dono da Bola by MOD_ROCKET_SPLASH
Item:;4 weapon_rocketlauncher
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;2 weapon_rocketlauncher
Item:;5 weapon_rocketlauncher
Item:;5 ammo_rockets
Item:;3 ammo_bullets
Kill:;2 2 7: Dono da Bola killed Dono da Bola by MOD_ROCKET_SPLASH
Kill:;4 3 7: Zeh killed Isgalamido by MOD_ROCKET_SPLASH
Item:;4 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;3 ammo_rockets
Item:;3 weapon_rocketlauncher
Kill:;2 5 7: Dono da Bola killed Assasinu Credi by MOD_ROCKET_SPLASH
Kill:;1022 2 19: <world> killed Dono da Bola by MOD_FALLING
Item:;4 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;5 weapon_rocketlauncher
Item:;5 item_armor_body
Kill:;1022 4 19: <world> killed Zeh by MOD_FALLING
Item:;5 weapon_rocketlauncher
Kill:;5 2 6: Assasinu Credi killed Dono da Bola by MOD_ROCKET
Item:;4 item_quad
Item:;3 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;4 weapon_rocketlauncher
Kill:;5 4 7: Assasinu Credi killed Zeh by MOD_ROCKET_SPLASH
Kill:;3 5 6: Isgalamido killed Assasinu Credi by MOD_ROCKET
Item:;2 weapon_rocketlauncher
Item:;2 item_quad
Item:;2 weapon_rocketlauncher
Item:;4 weapon_rocketlauncher
Item:;5 weapon_rocketlauncher
Item:;5 ammo_rockets
Kill:;2 5 7: Dono da Bola killed Assasinu Credi by MOD_ROCKET_SPLASH
Item:;2 weapon_rocketlauncher
Item:;5 weapon_rocketlauncher
Kill:;2 5 7: Dono da Bola killed Assasinu Credi by MOD_ROCKET_SPLASH
Item:;3 weapon_rocketlauncher
Kill:;4 3 7: Zeh killed Isgalamido by MOD_ROCKET_SPLASH
Kill:;2 2 7: Dono da Bola killed Dono da Bola by MOD_ROCKET_SPLASH
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_combat
Item:;5 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;4 item_armor_shard
Item:;5 item_armor_body
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;2 weapon_rocketlauncher
Item:;4 item_quad
Item:;4 weapon_rocketlauncher
Item:;3 weapon_railgun
Kill:;3 4 10: Isgalamido killed Zeh by MOD_RAILGUN
Item:;3 weapon_railgun
Item:;5 item_health_large
Item:;4 weapon_shotgun
Item:;2 item_health_large
Kill:;3 5 10: Isgalamido killed Assasinu Credi by MOD_RAILGUN
Kill:;4 3 1: Zeh killed Isgalamido by MOD_SHOTGUN
Item:;5 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Kill:;2 4 7: Dono da Bola killed Zeh by MOD_ROCKET_SPLASH
Item:;2 weapon_shotgun
Item:;3 ammo_bullets
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;4 weapon_rocketlauncher
Item:;2 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_combat
Kill:;4 5 7: Zeh killed Assasinu Credi by MOD_ROCKET_SPLASH
Item:;4 weapon_rocketlauncher
Kill:;3 2 7: Isgalamido killed Dono da Bola by MOD_ROCKET_SPLASH
Item:;5 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;4 item_quad
Item:;2 item_armor_body
Item:;3 ammo_rockets
Kill:;4 5 6: Zeh killed Assasinu Credi by MOD_ROCKET
Item:;5 weapon_rocketlauncher
Kill:;4 5 7: Zeh killed Assasinu Credi by MOD_ROCKET_SPLASH
Item:;4 ammo_rockets
Item:;4 weapon_rocketlauncher
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Kill:;3 4 7: Isgalamido killed Zeh by MOD_ROCKET_SPLASH
Kill:;1022 2 19: <world> killed Dono da Bola by MOD_FALLING
Item:;5 weapon_rocketlauncher
Item:;3 item_quad
Item:;3 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;4 ammo_shells
Item:;4 weapon_shotgun
Item:;5 weapon_rocketlauncher
Item:;4 weapon_shotgun
Kill:;3 2 3: Isgalamido killed Dono da Bola by MOD_MACHINEGUN
Kill:;5 4 7: Assasinu Credi killed Zeh by MOD_ROCKET_SPLASH
Item:;5 weapon_shotgun
Item:;2 weapon_rocketlauncher
Item:;5 item_armor_shard
Item:;5 item_armor_combat
Item:;3 weapon_shotgun
Item:;4 weapon_rocketlauncher
Kill:;3 2 1: Isgalamido killed Dono da Bola by MOD_SHOTGUN
Kill:;5 3 7: Assasinu Credi killed Isgalamido by MOD_ROCKET_SPLASH
Kill:;2 5 6: Dono da Bola killed Assasinu Credi by MOD_ROCKET
Item:;4 weapon_rocketlauncher
Item:;2 weapon_rocketlauncher
Item:;4 weapon_shotgun
Item:;4 item_quad
Item:;3 weapon_rocketlauncher
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;4 item_armor_shard
Item:;5 item_armor_body
Item:;2 weapon_rocketlauncher
Kill:;2 4 6: Dono da Bola killed Zeh by MOD_ROCKET
Item:;2 item_armor_shard
Item:;2 item_armor_shard
Item:;5 weapon_rocketlauncher
Item:;5 weapon_shotgun
Item:;4 weapon_shotgun
Item:;4 ammo_shells
Item:;3 weapon_rocketlauncher
Kill:;5 2 7: Assasinu Credi killed Dono da Bola by MOD_ROCKET_SPLASH
Item:;4 weapon_shotgun
Item:;2 weapon_rocketlauncher
Item:;5 weapon_rocketlauncher
Item:;4 weapon_shotgun
Kill:;5 4 7: Assasinu Credi killed Zeh by MOD_ROCKET_SPLASH
Item:;5 weapon_shotgun
Kill:;3 5 7: Isgalamido killed Assasinu Credi by MOD_ROCKET_SPLASH
Item:;2 item_armor_shard
Item:;4 ammo_rockets
Item:;4 weapon_rocketlauncher
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_shard
Item:;3 item_armor_combat
Kill:;3 2 6: Isgalamido killed Dono da Bola by MOD_ROCKET
Item:;3 weapon_rocketlauncher
Item:;5 item_armor_body
Item:;2 weapon_rocketlauncher
Item:;2 ammo_rockets
Item:;5 weapon_rocketlauncher
Kill:;5 3 7: Assasinu Credi killed Isgalamido by MOD_ROCKET_SPLASH
Item:;4 item_quad
Item:;3 weapon_rocketlauncher
Item:;5 item_armor_shard
Item:;5 item_armor_shard
Kill:;3 4 7: Isgalamido killed Zeh by MOD_ROCKET_SPLASH
Item:;5 weapon_shotgun
Item:;3 item_quad
Item:;5 item_armor_shard
Item:;5 item_armor_shard
Item:;5 item_armor_shard
Item:;4 weapon_rocketlauncher
Kill:;3 5 7: Isgalamido killed Assasinu Credi by MOD_ROCKET_SPLASH
Item:;3 weapon_rocketlauncher
Item:;4 item_armor_shard
Item:;4 item_armor_combat
Kill:;3 4 3: Isgalamido killed Zeh by MOD_MACHINEGUN
Item:;5 weapon_rocketlauncher
Item:;2 weapon_railgun
Item:;2 item_health
Item:;5 item_armor_body
Item:;3 item_health_large
Item:;4 weapon_rocketlauncher
Item:;3 item_health_mega
Kill:;1022 5 22: <world> killed Assasinu Credi by MOD_TRIGGER_HURT
Item:;3 item_armor_shard
Kill:;2 4 10: Dono da Bola killed Zeh by MOD_RAILGUN
Item:;3 item_armor_shard
Item:;5 ammo_rockets
Item:;5 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;3 weapon_rocketlauncher
Item:;3 ammo_rockets
Item:;4 weapon_rocketlauncher
